4-LETTER WORDS,5-LETTER WORDS,6-LETTER WORDS,7-LETTER WORDS,8-LETTER WORDS
gasp vt.喘着气说话；气喘吁吁地说,build n.构造；体形；体格,insult vt.侮辱；辱骂；损害,cushion n.垫子；银行储蓄,pleasure n.快乐；希望
trot n.腹泻；老太婆；（人）慢跑,build vi.建筑；建造,horror n.惊骇；惨状,cushion n.起缓解作用之物；（猪等的）臀肉,pleasure n.娱乐；令人高兴的事
trot n.马小跑的步态；小跑的马蹄声,build vt.建立；建筑,horror n.极端厌恶；令人恐怖的事物,cushion vt.给…安上垫子；缓和…的冲击；把…安置在垫子上,pleasure vt.使高兴；使满意
trot n.刚学步的小孩；（学生作弊用的）译文对照本,erect vt.建造；安装；使竖立,terror n.恐怖；恐怖行动,foresee vt.预见；预知,pleasure vi.高兴；寻欢作乐
trot vi.快步走；（马）小跑；（人）慢跑,erect adj.竖立的；笔直的；因性刺激而勃起的,terror n.恐怖时期；可怕的人,appoint vt.任命；指定；约定,pleasant adj.舒适的；和蔼可亲的
trot vt.使小跑；使快步走,erect vi.直立；勃起,fright n.惊吓；惊骇,appoint vi.任命；委派,anecdote n.轶事；奇闻；秘史
knit vi.编织；结合；皱眉,shape n.形状；模型,fright vt.使惊恐,nominee n.代名人；被任命者；被提名的人,applause n.喝采；鼓掌欢迎
knit vt.编织；结合,shape n.身材；具体化,appall vt.使胆寒；使惊骇,vacancy n.空缺；空位,obstacle n.干扰；妨害物
knit n.编织法；编织衣物,shape vt.形成；使成形；使符合,relief n.救济；解除,vacancy n.空白；空虚,handicap n.障碍；不利的因素
knot n.疙瘩；（绳等的）结；海里/小时（航速单位）,shape vi.形成；成形；成长,relief n.安慰；浮雕,trouble n.麻烦；烦恼,handicap vt.阻碍；使不利
knot vt.打结,amend vt.修改；改进,soothe vt.安慰；缓和；使平静,trouble n.故障；动乱,harmless adj.无害的；无恶意的
knot vi.打结,amend vi.改善；改过自新,soothe vi.起抚慰作用,trouble vt.麻烦；折磨；使烦恼,desolate adj.荒凉的；无人烟的
mild adj.温和的；轻微的；淡味的,bribe n.贿赂,league n.联盟；社团；范畴,trouble vi.烦恼,desolate vt.使荒凉；使孤寂
mild n.（英国的一种）淡味麦芽啤酒,bribe vt.收买,league vt.使…结盟；与…联合,disturb vt.打扰；妨碍；弄乱,ruthless adj.残忍的
meek adj.温顺的；谦恭的；驯服的,bribe vi.行贿,league vi.团结；结盟,disturb vi.打扰；妨碍,cautious adj.谨慎的；十分小心的
folk n.民族；人们；亲属（复数）,crime n.犯罪；罪恶；犯罪活动,expect vi.期待；预期,oppress vt.压抑；使……烦恼；使……感到沉重,discreet adj.谨慎的；小心的
folk adj.民间的,crime vt.控告……违反纪律,expect vt.期望；指望,agitate vt.摇动；骚动；使…激动,prudence n.审慎
myth n.神话；虚构的事,guilt n.过失；内疚,expect vt.认为；预料,agitate vi.煽动,coherent adj.一致的；明了的；清晰的
nuts adj.发狂的；热衷的；狂热的,decay n.衰减；腐朽,namely adv.即是；也就是；换句话说,shortly adv.立刻；简短地；唐突地,reassure vt.使消除疑虑
nuts int.呸；胡说,decay vt.使腐败；使衰落,vacant adj.空的；空虚的；空缺的,concise adj.简洁的,scornful adj.轻蔑的
nuts n.坚果；核心；螺母（nut的复数）,decay vi.衰减；腐朽,barely adv.勉强；几乎不,summary n.总结,contempt n.蔑视；耻辱
nuts v.采坚果；用头撞（nut的三单形式）,adorn vt.装饰；使生色,barely adv.公开地；贫乏地,summary adj.简易的；扼要的,attorney n.律师；代理人；检查官
pave vt.铺设；安排；作铺设之用,grace n.优雅；恩惠,vacuum n.真空；空间；真空吸尘器,outline n.轮廓；大纲,original n.原件；原作
tile n.瓦片,grace n.魅力；慈悲,vacuum adj.真空的；利用真空的；产生真空的,outline n.概要；略图,original n.原物；原型
tile vt.铺以瓦；铺以瓷砖,grace vt.使优美,vacuum vt.用真空吸尘器清扫,outline vt.概述；略述；描画…轮廓,original adj.原始的；最初的
pipe n.管；笛；烟斗,dense adj.稠密的；浓厚的；愚钝的,boring n.钻孔,section n.截面；部分；部门,original adj.独创的；新颖的
pipe vt.尖声唱；用管道输送；用管乐器演奏,thick n.最拥挤部分；活动最多部分；事物的粗大浓密部分,boring adj.无聊的；令人厌烦的,section vt.把…分段；将…切片；对…进行划分,postpone vt.使…延期；把…放在后面；把…放在次要地位
pipe vi.吹笛；尖叫,thick adj.厚的；浓的；粗大的,boring v.钻孔；使厌烦；挖空（bore的ing形式）,section vi.被切割成片；被分成部分,postpone vi.延迟；延缓发作
tube n.管；隧道,thick adv.密集地；厚厚地,tiring adj.累人的；麻烦的,camping n.露营；野营,diligent adj.勤勉的；费尽心血的
tube n.电子管；电视机,merit n.价值；功绩；功过,tiring adj.无聊的；引起疲劳的,camping v.露营；扎营；临时安顿（camp的ing形式）,distract vt.转移；分心
tube vt.使成管状；把…装管；用管输送,merit vt.值得,tiring v.厌倦；感到疲倦；使劳累（tire的ing形式）,faction n.派别；内讧,distress n.不幸；贫困；悲痛
tube vi.乘地铁；不及格,merit vi.应受报答,pierce vt.刺穿；洞察,faction n.小集团；纪实小说,distress vt.使悲痛；使贫困
pour n.倾泻；流出；骤雨,faint n.昏倒,pierce vt.响彻；深深地打动,coastal adj.沿海的；海岸的,hardship n.困苦；苦难；艰难险阻
pour vt.注；倒,faint adj.模糊的；头晕的,pierce vi.进入；透入,seaside n.海边；海滨,grievous adj.痛苦的；剧烈的
pour vt.倾泻；倾吐,faint adj.虚弱的；衰弱的,bother n.麻烦；烦恼,seaside adj.海边的；海滨的,doctrine n.主义；学说
pour vi.倾泻；涌流；斟茶,faint vi.昏倒；变得微弱；变得没气力,bother vt.打扰；使……不安；使……恼怒,comical adj.好笑的,doctrine n.教义；信条
flow n.流动；流量；泛滥,dirty adj.卑鄙的；肮脏的,bother vi.麻烦；烦恼,devoted v.献身于…；致力于…（devote的过去分词）,ideology n.观念学；意识形态；思想意识
flow vt.溢过,dirty adj.恶劣的；暗淡的,harass vt.使困扰；使烦恼；反复袭击,devoted adj.献身的；忠诚的,confront vt.面对；遭遇；比较
flow vi.涌流；飘扬；川流不息,dirty vt.弄脏,bureau n.处；衣柜；办公桌,conform adj.一致的；顺从的,jealousy n.嫉妒；猜忌；戒备
prey n.捕食；牺牲者；被捕食的动物,dirty vi.变脏,agency n.中介；经销处,conform vi.符合；遵照；适应环境,national adj.国家的；国民的
prey vi.捕食；掠夺；折磨,dusty adj.落满灰尘的,office n.官职；办公室,conform vt.使遵守；使一致；使顺从,national adj.民族的；国立的
suck n.吮吸,stain n.污点；瑕疵；着色剂,office n.营业处；政府机关,concede vi.让步,national n.国民
suck vt.吸吮；吸取,stain vt.沾污；败坏；给…着色,branch n.分枝；分部；支流,concede vt.承认；退让；容许,facility n.设施；设备
suck vi.吸吮；糟糕；巴结,stain vi.污染；被沾污；被染污,branch vt.分支；出现分歧,replica n.复制物,facility n.容易；灵巧
pill n.药丸；子弹；口服避孕药,messy adj.散乱的；污秽的；麻烦的,branch vi.分支；出现分歧,imitate vt.仿效；仿制,talented adj.多才的；有才能的
pill vt.使服用药丸；把…制成丸剂；掠夺（古语）,chaos n.混乱,circle n.圆；周期,pattern n.模式；图案；样品,flexible adj.灵活的；柔韧的；易弯曲的
pill vi.服药丸；做成药丸,havoc n.浩劫；蹂躏；大破坏,circle n.圈子；圆形物,pattern vt.模仿；以图案装饰,envelope n.封皮；包膜
wild n.荒野,havoc vt.严重破坏,circle vt.画圆圈；环绕…移动,pattern vi.形成图案,envelope n.包层；包迹
wild adj.野生的；野蛮的,havoc vi.损毁,circle vi.旋转；环行,correct adj.正确的；恰当的；端正的,moreover adv.而且；此外
wild adj.狂热的；荒凉的,equip vt.配备,absurd n.荒诞；荒诞作品,correct vt.改正；告诫,laughter n.笑；笑声
wild adv.疯狂地；胡乱地,excel vt.超过；擅长,absurd adj.荒谬的；可笑的,correct vi.调整；纠正错误,grateful adj.感谢的；宜人的
vain adj.徒劳的；自负的,excel vi.(在某方面)胜过(或超过)别人,commit vt.做错事；指派…作战,rectify vt.改正；精馏；整流,greeting n.招呼；祝贺
vain adj.无用的；无结果的,spare n.剩余；备用零件,commit vt.使…承担义务；把...交托给,corrupt adj.贪污的；堕落的,greeting v.欢迎（greet的现在分词）
bake n.烤；烘烤食品,spare vt.吝惜；饶恕；分让,devote vt.奉献；致力于,corrupt vt.使腐烂；使恶化,immunity n.免除；免疫力；豁免权
bake vi.受热；烘面包；被烤干,spare adj.瘦的；多余的；少量的,comply vi.遵守；遵从；答应,corrupt vi.腐化；腐烂,immunize vt.使免疫；赋予免疫性
bake vt.烘焙,spare vi.宽恕；节约,cement n.水泥；接合剂,bribery n.贿赂；受贿；行贿,resident n.居民；住院医生
born v.出世（bear的过去分词）,float n.花车；浮舟,cement vt.加强；接合；用水泥涂,offence n.犯罪；违反,resident adj.居住的；定居的
born adj.天生的,float n.浮萍；漂流物,cement vi.粘牢,offence n.过错；攻击,dwelling n.住处；寓所
burn n.烧伤；烙印,float vi.浮动；散播,formal n.夜礼服；正式的社交活动,degrade vt.贬低；使……丢脸,dwelling v.居住（dwell的现在分词）
burn vt.燃烧；灼伤；激起…的愤怒,float vi.摇摆；付诸实施,formal adj.正式的；拘谨的；有条理的,degrade vt.使……降级；使……降解,interval n.间隔；间距；幕间休息
burn vi.燃烧；烧毁；发热,float vt.实行；使漂浮,editor n.编辑；编辑装置；社论撰写人,degrade vi.降低；退化,threaten vt.威胁；恐吓；预示
dine vi.用餐,drift n.漂移；趋势；漂流物,revise n.修订；校订,delight n.高兴,threaten vi.威胁；可能来临
dine vt.宴请,drift vi.漂移；漂泊,revise vi.修订；校订；复习功课,delight vt.使高兴,inferior n.下级；次品
doze n.瞌睡,drift vt.使…漂流；使…受风吹积,revise vt.修正；复习；校订,delight vi.高兴,inferior adj.差的；自卑的；下等的
doze vi.假寐；打瞌睡,hover n.徘徊；盘旋；犹豫,guilty adj.有罪的；内疚的,rejoice vi.高兴；庆祝,lenience n.仁慈；宽厚
doze vt.打瞌睡度过,hover vi.翱翔；徘徊,rotten adj.腐烂的；堕落的；恶臭的,rejoice vt.使高兴,fatality n.死亡；宿命；不幸
fill n.满足；装填物；填满的量,hover vt.孵；徘徊在…近旁,rotten adv.非常,density n.密度,communal adj.公共的；公社的
fill vt.满足；堵塞,chill n.寒冷；寒意；寒心,perish vi.死亡；毁灭,compact n.契约；小粉盒,mythical adj.神话的；虚构的
fill vt.任职；使充满,chill vt.冷藏；使寒心；使感到冷,perish vi.腐烂；枯萎,compact adj.紧密的；简洁的,insanity n.疯狂；愚顽
fill vi.膨胀,chill adj.寒冷的；冷漠的；扫兴的,perish vt.毁坏；使麻木,compact vt.使简洁；使紧密结合,insanity n.精神病；精神错乱
flap n.襟翼；拍打声；神经紧张,chill vi.冷藏；变冷,joyful adj.欢喜的；令人高兴的,deserve vi.应得,pavement n.人行道
flap vt.扔；拍打,glare n.刺眼；耀眼的光；受公众注目,joyous adj.令人高兴的；充满欢乐的（等于joyful）,deserve vt.应得,navigate vt.操纵；使通过；航行于
flap vt.飘动；拉下帽边,glare vt.瞪视；发眩光,detect vt.察觉；发现；探测,discern vt.识别；认识,navigate vi.航空
flap vi.拍动；神经紧张,glare vi.瞪眼表示,notice n.布告；注意；公告,discern vi.辨别,highland n.高地；丘陵地带
flap vi.鼓翼而飞；（帽边等）垂下,blaze n.烈火；光辉；情感爆发,notice vt.通知；留心；注意到,observe vt.庆祝,highland adj.高原的；高地的
fume n.烟；烦恼,blaze vt.公开宣布；在树皮上刻路标,notice vi.引起注意,observe vt.说；观察；遵守,ancestor n.祖先；被继承人
fume vt.熏；冒烟；愤怒地说,blaze vi.燃烧；发光；激发,plight n.困境；境况；誓约,observe vi.说；观察,ancestry n.祖先；血统
fume vi.冒烟；发怒,flame n.火焰；热情；光辉,plight vt.保证；约定,observe vi.评论；注意到,chairman n.会长；董事长
lick vt.舔；卷过；鞭打,flame v.焚烧；泛红,corner n.窘境；拐角处；偏僻处,dilemma n.困境；进退两难；两刀论法,arrogant adj.傲慢的
lick vt.（非正式）战胜,flare n.恶化；闪耀；耀斑,corner vt.垄断；迫至一隅,failure n.失败；故障,inclined v.使…倾向（incline的过去分词）
lick vi.舔；轻轻拍打,flare n.爆发；照明弹,corner vt.把…难住；使陷入绝境,failure n.破产；失败者,inclined adj.趋向于…的
lick n.舔；打；少许,flare n.底部展开；（鼻孔）张开的意思,corner vi.囤积；相交成角,depress vt.压抑；使沮丧；使萧条,rational n.有理数
lose vt.浪费；遗失；错过,flare vi.闪光；燃烧；突然发怒,aspect n.方面；方向,despair n.绝望；令人绝望的人或事,rational adj.合理的；理性的
lose vi.失败；受损失,flare vt.使闪耀；使张开,aspect n.形势；外貌,despair vi.丧失信心,disgrace n.耻辱；失宠；丢脸的人或事
loss n.减少；亏损,flare vt.使外倾；用发光信号发出,uproar n.骚动；喧嚣,disease n.疾病；弊病,disgrace vt.贬黜；使……失宠
loss n.失败；遗失,grand n.大钢琴；一千美元,tangle n.纠纷；混乱状态,disease vt.传染；使…有病,disgrace vt.给……丢脸；使……蒙受耻辱
melt vi.溶解；渐混,grand adj.宏伟的；豪华的；极重要的,tangle vt.使纠缠；处于混乱状态,riotous adj.暴乱的；狂欢的；放荡的,stubborn adj.顽固的；顽强的；难处理的
melt vt.使融化；使熔化,hence adv.因此；今后,tangle vi.缠结；乱作一团,tangled adj.紊乱的；纠缠的,punctual adj.守时的；精确的
melt vt.使软化；使感动,irony n.讽刺；反语；具有讽刺意味的事,exceed vt.超过；胜过,tangled adj.缠结的；复杂的,futility n.无用；徒劳；无价值
melt n.熔化；熔化物,irony adj.铁的；似铁的,exceed vi.超过其他,chaotic adj.混沌的；无秩序的,brighten vt.使闪亮；使生辉；使快乐高兴
pant n.气喘；喘息；喷气声,slack n.煤末；峡谷,excuse n.借口；理由,diverse adj.不同的；变化多的；多种多样的,brighten vi.明亮；变亮
pant vt.气喘,slack adj.松弛的；疏忽的；不流畅的,excuse vt.原谅；为…申辩；给…免去,various adj.多方面的；各种各样的,brighten vi.活跃；快乐高兴
pant vi.喘息；渴望；气喘吁吁地说出某事,slack vt.放松；使缓慢,excuse vi.作为借口；请求宽恕；表示宽恕,prepare vt.准备；装备,criminal n.罪犯
peel n.皮,slack adv.马虎地；缓慢地,pardon n.原谅；赦免；宽恕,prepare vt.起草；使适合,criminal adj.刑事的；犯罪的；罪恶的
peel v.削；剥落,slack vi.松懈；减弱,pardon vt.原谅；赦免；宽恕,prepare vi.预备；做好思想准备,offender n.罪犯；冒犯者；违法者
poke n.戳；刺,loose adj.宽松的；散漫的,filter n.筛选；滤波器,qualify vi.有资格,retrieve n.检索；取回
poke n.袋子；懒汉,loose adj.不牢固的；不精确的,filter n.过滤器；滤光器,qualify vt.限制；使具有资格；证明…合格,retrieve vt.检索；恢复；重新得到
poke vt.捅；戳；拨开,loose vt.释放；开船；放枪,filter vt.过滤；渗透；用过滤法除去,surpass vt.超越；优于；非…所能办到或理解,retrieve vi.找回猎物
poke vi.捅；戳；伸出,loose vi.变松；开火,filter vi.滤过；渗入；慢慢传开,forgive vt.原谅；免除（债务、义务等）,acquaint vt.使熟悉；使认识
seep n.小泉；水陆两用的吉普车,loose adv.松散地,freeze n.冻结；凝固,forgive vi.表示原谅,addition n.添加；加法；增加物
seep vi.漏；渗出,loose n.放纵；放任；发射,freeze vt.使…冻住；使…结冰,sparing n.抽出；宽恕,belittle vt.轻视；贬低；使相形见小
send n.上升运动,cargo n.船货,freeze vi.冻结；冷冻；僵硬,sparing n.免去；给予（spare的ing形式）,coincide vi.符合；同时发生
send vi.派人；寄信,loyal adj.忠心的；忠贞的,frozen v.凝固；变得刻板；结冰（freeze的过去分词）,sparing adj.节约的；贫乏的；保守的,coincide vi.相符
send vt.寄；派遣,loyal n.忠实信徒；效忠的臣民,frozen adj.冻结的；冷酷的,thereby adv.因此；在那附近；在那方面,commence v.开始；着手；<英>获得学位
send vt.发射；使进入,fixed adj.确定的；固执的,chilly adj.寒冷的；怕冷的,instant n.瞬间；立即；片刻,condense vt.使浓缩；使压缩
sigh n.叹气,fixed adj.准备好的；<美口>处境...的,dazzle n.灿烂；耀眼的光,instant adj.立即的；紧急的；紧迫的,condense vi.浓缩；凝结
sigh vt.叹气,fixed v.修理（过去式）,dazzle vt.使……目眩；使……眼花,sarcasm n.讽刺；挖苦；嘲笑,daunting adj.使人畏缩的；使人气馁的；令人怯步的
sigh vi.叹气,mercy n.宽容；怜悯,dazzle vi.炫耀；眼花缭乱,slacken vi.懈怠；变松弛；变缓慢,disposal n.处理；支配
slam n.猛击；砰然声,mercy n.幸运；善行,ironic adj.讽刺的；反话的,slacken vt.使缓慢；使松弛,disposal n.清理；安排
slam vi.砰地关上；猛力抨击,grind n.磨；苦工作,satire n.讽刺；讽刺作品,freight n.货运；运费；船货,disposed v.处理；配置
slam vt.砰地关上；猛力抨击,grind vt.磨碎；磨快,loosen vt.放松；松开,freight vt.运送；装货；使充满,disposed v.使有倾向；使适应（dispose的过去分词）
soar n.高飞；高涨,grind vi.磨碎；折磨,loosen vi.放松；松开,loyalty n.忠诚；忠心,disposed adj.有…倾向的；打算做…的；有某种健康状态的
soar vi.高飞；高耸；往上飞舞,moist adj.潮湿的；多雨的；含泪的,burden n.负担；责任；船的载货量,loyalty n.忠实；忠于…感情,dissolve n.叠化画面；画面的溶暗
tuck n.食物；缝摺；活力,moist n.潮湿,burden vt.烦扰；使负担；装货于,devoted v.献身于…；致力于…（devote的过去分词）,dissolve vt.使溶解；使分解；使液化
tuck vt.卷起；挤进；收拢,humid adj.潮湿的；湿润的；多湿气的,mature adj.成熟的；到期的,devoted adj.献身的；忠诚的,dissolve vi.溶解；解散；消失
tuck vt.大口吃；使隐藏,agree vi.vi,mature adj.成年人的；充分考虑的,conceal vt.隐藏；隐瞒,entangle vt.卷入；使纠缠；使混乱
tuck vt.使有褶裥；用某物舒适地裹住,agree vt.赞成；承认；商定,mature vi.成熟；到期,fixture n.设备；固定装置；固定于某处不大可能移动之物,evacuate vt.撤退；排泄
tuck vi.缩拢；缝褶裥,pause n.暂停；间歇,mature vt.使…成熟；使…长成；慎重作出,pitiful adj.令人同情的,evacuate vi.疏散；撤退；排泄
tuck vi.大口吃；舒服地裹在里面,pause vi.中止；踌躇,repair n.修补；修补部位,charity n.慈善；施舍；宽容,hesitate vt.犹豫；不愿意
weep n.哭泣；眼泪；滴下,cease n.停止,repair vt.修理；恢复；纠正,analogy n.类比；类推；类似,hesitate vi.犹豫；不愿
weep vt.哭泣；流泪,cease vi.停止；终了,repair vi.修理；修复,suspend vt.推迟；使暂停；使悬浮,hesitant adj.迟疑的；踌躇的；犹豫不定的
weep vt.悲叹；流出或渗出液体,cease vt.停止；结束,hinder vt.阻碍；打扰,suspend vi.悬浮；禁赛,innovate vi.创新；改革；革新
weep vi.哭泣；流泪；哀悼,block n.块；街区,hinder adj.后面的,pension n.津贴；抚恤金；膳宿费,innovate vt.改变；创立
weld n.焊接；焊接点,block n.大厦；障碍物,hinder vi.成为阻碍,pension vt.发给养老金或抚恤金,innovate vt.创始；引人
weld vt.焊接；使结合；使成整体,block adj.大块的；交通堵塞的,prompt n.提示；付款期限；DOS命令：改变DOS系统提示符的风格,welfare n.福利；幸福,insulate vt.使孤立；使隔热
weld vi.焊牢,block vt.阻止；阻塞,prompt adj.迅速的；立刻的,welfare n.安宁；福利事业,irrigate vt.灌溉；冲洗；使清新
acid n.酸；<俚>迷幻药,block vt.限制；封盖,prompt vt.提示；促进,welfare adj.福利的；接受社会救济的,irrigate vi.灌溉；冲洗
acid adj.酸的；讽刺的；刻薄的,rapid n.急流；高速交通网,prompt vt.激起；（给演员）提白,subsidy n.补贴；津贴；补助金,overflow vi.溢出；泛滥；充溢
arch n.拱形；拱门,rapid adj.急促的；飞快的；险峻的,prompt adv.准时地,precede vt.高于；在…之前,overflow n.洋溢；泛滥
arch adj.主要的,swift n.褐雨燕,raging adj.狂暴的,precede vi.在前面,overflow n.超值；溢值
arch vt.用拱连接；使…弯成弓形,swift adj.快的；迅速的,raging v.恼火（rage的现在分词）,initial n.词首大写字母,overflow vt.使溢出；使泛滥；使充溢
arch vi.拱起；成为弓形,swift adj.敏捷的；立刻的,boiler n.锅炉；热水器；盛热水器,initial adj.最初的；字首的,overhear vt.偷听；无意中听到
army n.军队,swift adv.迅速地,rarely adv.难得；很少地；罕有地,initial vt.用姓名的首字母签名,overhear vi.偷听到；无意中听到
bail n.杓；保释人；保释金,swift n.应用于iOS8及以上的应用程序,rarity n.罕见；珍贵,premise n.前提；上述各项；房屋连地基,overtake vt.赶上；压倒；突然来袭
bail vt.往外舀水；帮助某人脱离困境,fleet n.舰队；港湾；小河,rarity n.稀薄；珍品（需用复数）,premise vt.预先提出；作为…的前提,overtake vi.超车
bark n.树皮；毛皮；皮肤,fleet adj.敏捷的,scarce adj.不足的；稀有的,premise vi.作出前提,paralyze vt.使麻痹；使瘫痪
bark vt.狗叫；尖叫；剥皮,fleet vt.消磨,scarce adv.仅仅；几乎不；几乎没有,prevent vt.防止；阻止,polarize vt.（使）极化；（使）偏振；（使）两极分化
bath n.沐浴；浴室；浴盆,fleet vi.飞逝；疾驰；掠过,viable adj.可行的；能养活的；能生育的,prevent vi.阻止,polarize vi.极化；偏振；两极分化
bath vt.洗澡,anger n.愤怒；忿怒,revive vt.重播；使复兴,outrage n.愤慨；暴行；侮辱,preacher n.牧师；传教士；鼓吹者
bath vi.洗澡,anger vt.激怒；恼火,revive vt.使苏醒；回想起,outrage vt.强奸；激起愤怒；对…施暴行,preclude vt.排除；妨碍；阻止
bite n.咬；一口,anger vi.发怒；恼火,revive vi.复兴；复活,furious adj.激烈的；狂怒的,radiator n.散热器；暖气片；辐射体
bite n.咬伤；刺痛,angry adj.生气的；愤怒的,revive vi.苏醒；恢复精神,furious adj.喧闹的；热烈兴奋的,rehearse vt.排练；预演
bite abbr.机内测试设备（Built-InTestEquipment）,angry adj.狂暴的；（伤口等）发炎的,liable adj.易…的；有义务的,unusual adj.不寻常的；不平常的；与众不同的,rehearse vi.排练；演习
bite vt.咬；刺痛,crude n.原油；天然的物质,liable adj.应受罚的；有…倾向的,refresh vt.更新；使……恢复,saturate adj.饱和的；深颜色的
bite vi.咬；刺痛,crude adj.粗糙的；粗鲁的；未加工的,shiver n.战栗；碎片,refresh vt.使……清新；消除……的疲劳,saturate vt.使湿透；使充满
book n.卷；书籍；帐簿,green n.绿色；青春,shiver vi.颤抖；哆嗦；打碎,refresh vi.吃点心；恢复精神；补充给养,scramble n.争夺；攀登；混乱的一团
book vt.预订；登记,green adj.绿色的；青春的,shiver vt.颤抖；打碎,revival n.复兴；复活；苏醒,scramble vi.攀登；仓促行动；不规则地生长
boss n.老板；首领；工头,green vt.使…变绿色,quiver n.颤抖；箭袋；震动,convict n.罪犯,scramble vt.攀登；扰乱；仓促凑成
boss vt.调遣；当…的领导,green vi.变绿色,quiver vi.颤抖；振动,convict vt.证明…有罪；宣告…有罪,subtract vt.减去；扣掉
boss vi.发号施令,hasty adj.轻率的；匆忙的,quiver vt.抖动；使…颤动,verdict n.结论；裁定,underlie vt.位于……之下；成为……的基础
bump n.撞击；隆起物,hasty adj.草率的；懈怠的,thrill n.激动；震颤；紧张,vibrate vt.使振动；使颤动,analogue n.类似物；类似情况；对等的人
bump vi.撞击；颠簸而行,cheer n.欢呼；愉快,thrill vt.使…颤动；使…紧张；使…感到兴奋或激动,vibrate vi.振动；颤动,analogue adj.类似的；相似物的；模拟计算机的
bump vt.撞；颠簸,cheer n.心情；令人愉快的事,thrill vi.颤抖；感到兴奋；感到紧张,vibrate vi.摇摆；踌躇,animated vt.使…有生气（animate的过去式）
bump adv.猛烈地,cheer vt.欢呼；使高兴；为…加油,locker n.箱；上锁的人；锁扣装置,tremble n.颤抖；战栗；摇晃,animated adj.活泼的；愉快的；活生生的
buzz n.嗡嗡声,cheer vi.欢呼；感到高兴,silent n.无声电影,tremble vi.发抖；战栗,backward adj.向后的；反向的；发展迟缓的
buzz vt.使嗡嗡叫；暗中散布,shake n.摇动；哆嗦,silent adj.沉默的；寂静的；无记载的,tremble vi.焦虑；摇晃,backward adv.向后地；相反地
buzz vi.作嗡嗡声；东奔西忙,shake vt.动摇；摇动,skinny n.机密情报；内部消息；小道消息,tremble vt.使挥动；用颤抖的声音说出,bankrupt n.破产者
buzz n.网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）,shake vt.震动；握手,skinny adj.皮的；紧身的,sparkle n.闪耀；火花；活力,bankrupt adj.破产的
call n.电话；呼叫,shake vi.动摇；摇动；发抖,skinny adj.小气的；皮包骨的,sparkle vt.使闪耀；使发光,bankrupt vt.使破产
call n.要求；访问,shaky adj.摇晃的；不可靠的；不坚定的,shrewd n.精明（的人）；机灵（的人）,sparkle vi.闪耀；发泡；活跃,barbecue n.烤肉；吃烤肉的野宴
call vi.呼叫；拜访；叫牌,rocky adj.摇晃的；多岩石的,shrewd adj.精明的；狡猾的；机灵的,glitter vi.闪光；闪烁,barbecue vt.烧烤；烤肉
call vt.呼叫；称呼；召集,rocky adj.坚如岩石的；头晕目眩的,wisdom n.才智；明智,glitter n.闪光；灿烂,courtesy n.礼貌；好意；恩惠
chat n.聊天；闲谈,swing n.摇摆；摆动；秋千,wisdom n.学识；至理名言,twinkle n.闪烁,courtesy adj.殷勤的；被承认的；出于礼节的
chat vt.与…搭讪；与…攀谈,swing adj.旋转的；悬挂的；强节奏爵士音乐的,shower n.淋浴；阵雨；一大批,twinkle vt.闪耀；使闪耀,dispatch n.派遣；急件
chat vi.聊天；闲谈,swing vt.挥舞；悬挂；使旋转,shower vt.大量地给予；把……弄湿,twinkle vi.闪烁；发亮,dispatch vt.派遣；分派
chew n.咀嚼；咀嚼物,swing vi.摇摆；转向,shower vi.淋浴；下阵雨,silence n.沉默；寂静；缄默,downtown n.市中心区；三分线以外
chew vi.深思,swing vi.悬挂；大摇大摆地行走,stable n.马厩；牛棚,silence vt.压制；使沉默,downtown adj.市中心的
chew vt.咀嚼,shine vt.擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光,stable adj.稳定的；牢固的；坚定的,silence vt.使安静；消除噪音,downtown adv.在市区；往闹市区
coin n.钱币,shine vi.闪耀；露出；照耀,stable vt.赶入马房,silence int.安静！；别作声！,downward adj.下降的
coin vt.创造；铸造（货币）,shine vi.显露；出众,stable vi.被关在马厩,missing adj.失踪的；缺少的,downward adv.向下
comb n.梳子；蜂巢；鸡冠,shine vi.发出光；表现突出,steady n.固定支架；关系固定的情侣,missing v.想念；漏掉；错过（miss的ing形式）,esthetic n.美学；审美家；唯美主义者
comb vt.梳毛；梳头发,shine n.光泽；擦亮；晴天,steady adj.稳定的；不变的；沉着的,slender adj.细长的；苗条的；微薄的,esthetic adj.感觉的；审美的（等于aesthetic）
comb vi.（浪）涌起,shiny adj.擦亮的；闪耀的,steady vt.稳固；使稳定；使坚定,alleged v.断言；宣称（allege的过去式和过去分词）,exercise n.运动；练习；运用
dial n.转盘；钟面；刻度盘,shiny adj.晴朗的；磨损的,steady adv.稳定地；稳固地,alleged adj.所谓的；声称的；被断言的,exercise vt.锻炼；练习；使用
dial vt.给…拨号打电话,flash n.闪现；一瞬间,steady vi.稳固,nominal adj.名义上的；票面上的；有名无实的,exercise vi.运动；练习
dial vi.拨号,flash adj.火速的,pirate n.海盗；盗版；侵犯专利权者,nominal n.名词性词,farewell n.辞别；再见；再会
diet n.饮食；食物；规定饮食,flash vt.反射；使闪光,pirate vt.掠夺；翻印；剽窃,torrent n.奔流；倾注,farewell adj.告别的
